"Year","Age","Female","Male","Total","FemalePost","MalePost","Fem1","Mal1"
1987,"3",0.000233,0.000297,0.000266,105.463386350467,103.688687074368,105.463386350467,103.688687074368
1988,"3",0.000265,0.000272,0.000268,105.64626069431,103.653979592904,105.64626069431,103.653979592904
1989,"3",0.000205,0.000244,0.000225,105.443723818885,103.598568342945,105.443723818885,103.598568342945
1990,"3",0.000192,0.000265,0.00023,105.432392183197,103.734352534681,105.432392183197,103.734352534681
1991,"3",0.000276,0.00023,0.000253,105.849480648309,103.645924608661,105.849480648309,103.645924608661
1992,"3",0.000205,0.000276,0.000241,105.606272733153,103.881468756499,105.606272733153,103.881468756499
1993,"3",0.000354,0.000374,0.000364,106.206742638571,104.238546279239,106.206742638571,104.238546279239
1994,"3",0.000328,0.000271,0.000299,106.184642305244,103.969631893748,106.184642305244,103.969631893748
1995,"3",0.000207,0.000296,0.000253,105.778530461548,104.111095118236,105.778530461548,104.111095118236
1996,"3",0.000178,0.000231,0.000205,105.681778189997,103.916375965477,105.681778189997,103.916375965477
1997,"3",0.000318,0.00025,0.000283,106.316228993908,104.04864176386,106.316228993908,104.04864176386
1998,"3",0.000157,0.000253,0.000206,105.664606387898,104.113792925769,105.664606387898,104.113792925769
1999,"3",0.000134,0.000182,0.000158,105.560383353924,103.837632715162,105.560383353924,103.837632715162
2000,"3",0.000143,0.000136,0.000139,105.679571155655,103.599503504864,105.679571155655,103.599503504864
2001,"3",0.000146,0.000184,0.000165,105.754516118526,103.95500696778,105.754516118526,103.95500696778
2002,"3",0.000157,0.000197,0.000177,105.881338273589,104.076497529953,105.881338273589,104.076497529953
2003,"3",0.000157,0.000138,0.000148,105.935521245011,103.773770077415,105.935521245011,103.773770077415
2004,"3",0.000111,0.000137,0.000124,105.642988612398,103.819719909129,105.642988612398,103.819719909129
1950,"4",0.001603,0.001602,0.001603,103.691720888166,91.1685162605307,103.691720888166,91.1685162605307
1951,"4",0.001515,0.001575,0.001546,103.688434694981,91.1982717694239,103.688434694981,91.1982717694239
1952,"4",0.001438,0.001603,0.001522,103.689447756799,91.2626464560356,103.689447756799,91.2626464560356
1953,"4",0.001312,0.001484,0.0014,103.650922429503,91.2322638124152,103.650922429503,91.2322638124152
1954,"4",0.001153,0.001281,0.001218,103.57491222175,91.1319167758464,103.57491222175,91.1319167758464
1955,"4",0.001122,0.001292,0.001209,103.600833029044,91.187220243554,103.600833029044,91.187220243554
1956,"4",0.001013,0.001166,0.001091,103.551811688691,91.1313610113837,103.551811688691,91.1313610113837
1957,"4",0.001045,0.001303,0.001177,103.636087590323,91.2892043068599,103.636087590323,91.2892043068599
1958,"4",0.001019,0.001074,0.001047,103.664067700628,91.1426780900657,103.664067700628,91.1426780900657
1959,"4",0.000883,0.001045,0.000965,103.57399110949,91.1620580646576,103.57399110949,91.1620580646576
1960,"4",0.000948,0.000984,0.000967,103.698195652622,91.1486648825728,103.698195652622,91.1486648825728
1961,"4",0.000772,0.000912,0.000844,103.546000941873,91.1194320608566,103.546000941873,91.1194320608566
1962,"4",0.000704,0.000978,0.000844,103.506969989487,91.2360548260789,103.506969989487,91.2360548260789
1963,"4",0.00083,0.000964,0.000899,103.724792575601,91.2683895359165,103.724792575601,91.2683895359165
1964,"4",0.000718,0.00089,0.000806,103.63301168534,91.2352727892939,103.63301168534,91.2352727892939
1965,"4",0.000649,0.000757,0.000704,103.585150074477,91.120167665267,103.585150074477,91.120167665267
1966,"4",0.000614,0.000707,0.000661,103.582887527401,91.0985881629879,103.582887527401,91.0985881629879
1967,"4",0.000581,0.000684,0.000634,103.580818597587,91.1122684999757,103.580818597587,91.1122684999757
1968,"4",0.000562,0.00073,0.000648,103.60074493211,91.2241082017574,103.60074493211,91.2241082017574
1969,"4",0.000514,0.000691,0.000604,103.564641589152,91.2159565766445,103.564641589152,91.2159565766445
1970,"4",0.000496,0.000634,0.000567,103.582169491903,91.1766187925758,103.582169491903,91.1766187925758
1971,"4",0.000525,0.000615,0.000571,103.692167069251,91.1929451912069,103.692167069251,91.1929451912069
1972,"4",0.000451,0.000626,0.000541,103.593411387643,91.2574263797623,103.593411387643,91.2574263797623
1973,"4",0.000467,0.000526,0.000497,103.68144854729,91.1301303066617,103.68144854729,91.1301303066617
1974,"4",0.000348,0.000473,0.000412,103.440497010877,91.0706775676778,103.440497010877,91.0706775676778
1975,"4",0.000381,0.000512,0.000448,103.584269147711,91.1966598894872,103.584269147711,91.1966598894872
1976,"4",0.000311,0.000487,0.000402,103.434437926244,91.1933524727921,103.434437926244,91.1933524727921
1977,"4",0.000297,0.000397,0.000348,103.441552394349,91.0357777156585,103.441552394349,91.0357777156585
1978,"4",0.000283,0.00042,0.000353,103.44644239467,91.1388492315105,103.44644239467,91.1388492315105
1979,"4",0.000305,0.000334,0.00032,103.574482515116,90.9564885984716,103.574482515116,90.9564885984716
1980,"4",0.000304,0.000372,0.000339,103.624373681396,91.1109945450299,103.624373681396,91.1109945450299
1981,"4",0.000225,0.000327,0.000277,103.376621623675,91.0288139469158,103.376621623675,91.0288139469158
1982,"4",0.000216,0.000328,0.000274,103.388974870636,91.0786204696645,103.388974870636,91.0786204696645
1983,"4",0.000271,0.000317,0.000294,103.668990525312,91.0912617204194,103.668990525312,91.0912617204194
1984,"4",0.000233,0.000328,0.000282,103.571085399479,91.1721266401881,103.571085399479,91.1721266401881
1985,"4",0.000214,0.000326,0.000272,103.539198202417,91.2127634984325,103.539198202417,91.2127634984325
1986,"4",0.000143,0.00028,0.000213,103.189242059136,91.1074088054968,103.189242059136,91.1074088054968
1987,"4",0.000226,0.000289,0.000258,103.700107669629,91.1857989757018,103.700107669629,91.1857989757018
1988,"4",0.000174,0.000248,0.000212,103.491803211053,91.0795541190162,103.491803211053,91.0795541190162
1989,"4",0.000156,0.00025,0.000204,103.435779160569,91.1343393759753,103.435779160569,91.1343393759753
1990,"4",0.000187,0.000252,0.00022,103.670207011655,91.1890606308862,103.670207011655,91.1890606308862
1991,"4",0.000193,0.000213,0.000203,103.754963825186,91.0676767943461,103.754963825186,91.0676767943461
1992,"4",0.000154,0.000216,0.000186,103.582401480176,91.1284161215826,103.582401480176,91.1284161215826
1993,"4",0.000216,0.000238,0.000227,103.973902526928,91.2721614728317,103.973902526928,91.2721614728317
1994,"4",0.000261,0.000223,0.000241,104.216319768048,91.2538156558822,104.216319768048,91.2538156558822
1995,"4",0.000182,0.000147,0.000164,103.908981289283,90.8838295564626,103.908981289283,90.8838295564626
1996,"4",0.000206,0.000231,0.000219,104.086026012477,91.3825677654675,104.086026012477,91.3825677654675
1997,"4",0.000174,0.000218,0.000197,103.970380384383,91.3713982029966,103.970380384383,91.3713982029966
1998,"4",9.6e-05,0.000178,0.000138,103.428848518117,91.2154397757614,103.428848518117,91.2154397757614
1999,"4",0.000122,0.000145,0.000134,103.721696612864,91.0571430531517,103.721696612864,91.0571430531517
2000,"4",0.000149,0.000126,0.000138,103.974797115557,90.9634443029444,103.974797115557,90.9634443029444
2001,"4",0.000152,0.000173,0.000163,104.047906571939,91.3272070757525,104.047906571939,91.3272070757525
2002,"4",0.000129,0.000168,0.000149,103.937013696935,91.3446325459198,103.937013696935,91.3446325459198
2003,"4",0.000101,0.000166,0.000134,103.745497050896,91.3794094401349,103.745497050896,91.3794094401349
2004,"4",0.000111,0.000126,0.000119,103.893081976848,91.1504566439916,103.893081976848,91.1504566439916
1950,"5",0.001107,0.001412,0.001263,90.6016073676484,90.9124150933053,90.6016073676484,90.9124150933053
1951,"5",0.001075,0.001275,0.001178,90.6187367382542,90.8569758841746,90.6187367382542,90.8569758841746
